row_id,matched_attack_type,match_score,strategy_hint,label
0,UNKNOWN,-0.045593848719390595,s_unknown_similarity,BENIGN
1,UNKNOWN,0.16481576835567363,s_unknown_similarity,BENIGN
2,UNKNOWN,0.10832813107004827,s_unknown_similarity,BENIGN
3,SSH-Patator,0.4353551894980424,,BENIGN
4,SSH-Patator,0.2573971179778177,,BENIGN
5,UNKNOWN,-0.03316749968968587,s_unknown_similarity,BENIGN
6,UNKNOWN,0.029539299557190028,s_unknown_similarity,BENIGN
7,SSH-Patator,0.3161738969455611,,BENIGN
8,UNKNOWN,0.1668520696140461,s_unknown_similarity,BENIGN
9,SSH-Patator,0.4752276372009265,,BENIGN
10,UNKNOWN,0.24862184846375218,s_unknown_similarity,BENIGN
11,UNKNOWN,0.22009095341586254,s_unknown_similarity,BENIGN
12,SSH-Patator,0.34980021341347783,,BENIGN
13,UNKNOWN,0.22745111880277769,s_unknown_similarity,BENIGN
14,SSH-Patator,0.2800126351828694,,BENIGN
15,SSH-Patator,0.40656742145726577,,BENIGN
16,UNKNOWN,0.19191166918975344,s_unknown_similarity,BENIGN
17,SSH-Patator,0.4071409713052665,,BENIGN
18,UNKNOWN,0.11587931712959376,s_unknown_similarity,BENIGN
19,SSH-Patator,0.4394949376764669,,BENIGN
20,UNKNOWN,0.01804044168982469,s_unknown_similarity,BENIGN
21,UNKNOWN,-0.022484620069939894,s_unknown_similarity,BENIGN
22,UNKNOWN,0.013303612036311538,s_unknown_similarity,BENIGN
23,SSH-Patator,0.34041645449425084,,BENIGN
24,SSH-Patator,0.3470015181188046,,BENIGN
25,SSH-Patator,0.34697209218663355,,BENIGN
26,SSH-Patator,0.28447379213975776,,BENIGN
27,UNKNOWN,0.14993841333412725,s_unknown_similarity,BENIGN
28,UNKNOWN,-0.008231020955752379,s_unknown_similarity,BENIGN
29,SSH-Patator,0.2834444901524552,,BENIGN
30,SSH-Patator,0.2880453536064507,,BENIGN
31,UNKNOWN,0.1733523171661534,s_unknown_similarity,BENIGN
32,UNKNOWN,0.20332633957803853,s_unknown_similarity,BENIGN
33,UNKNOWN,0.22454495815263326,s_unknown_similarity,BENIGN
34,SSH-Patator,0.3923931866886858,,BENIGN
35,SSH-Patator,0.32320254037593854,,BENIGN
36,SSH-Patator,0.29402640528882973,,BENIGN
37,UNKNOWN,0.1776357537421003,s_unknown_similarity,BENIGN
38,SSH-Patator,0.3120752105506837,,BENIGN
39,UNKNOWN,0.1591970039793703,s_unknown_similarity,BENIGN
40,SSH-Patator,0.2775606375979359,,BENIGN
